"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"6/1/2023 9 p.m. EDT",551621,548133,549223,-2495
US48,"6/1/2023 10 p.m. EDT",536262,528690,531591,-3921
US48,"6/1/2023 11 p.m. EDT",512324,503842,506533,-4761
US48,"6/2/2023 12 a.m. EDT",478115,472342,475242,-3811
US48,"6/2/2023 1 a.m. EDT",450684,442610,443915,-782
US48,"6/2/2023 2 a.m. EDT",425851,417565,418548,-54
US48,"6/2/2023 3 a.m. EDT",403884,395126,398665,1498
US48,"6/2/2023 4 a.m. EDT",390423,385823,385975,1511
US48,"6/2/2023 5 a.m. EDT",384291,382625,379506,1087
US48,"6/2/2023 6 a.m. EDT",386437,388900,381332,888
US48,"6/2/2023 7 a.m. EDT",398961,401684,392755,109
US48,"6/2/2023 8 a.m. EDT",414153,419944,408988,-114
US48,"6/2/2023 9 a.m. EDT",435080,441733,429527,-593
US48,"6/2/2023 10 a.m. EDT",458869,466583,452734,-1298
US48,"6/2/2023 11 a.m. EDT",484875,493143,478665,-205
US48,"6/2/2023 12 p.m. EDT",511904,518610,504528,-368
US48,"6/2/2023 1 p.m. EDT",535536,541327,527484,-877
US48,"6/2/2023 2 p.m. EDT",556030,561961,549025,-30
US48,"6/2/2023 3 p.m. EDT",572137,579036,565909,-21
US48,"6/2/2023 4 p.m. EDT",583908,592501,579216,429
US48,"6/2/2023 5 p.m. EDT",592305,600020,588050,324
US48,"6/2/2023 6 p.m. EDT",594005,599589,592044,543
US48,"6/2/2023 7 p.m. EDT",586686,589010,586280,371
US48,"6/2/2023 8 p.m. EDT",573286,572956,572510,665
US48,"6/2/2023 9 p.m. EDT",554399,554124,552596,487
US48,"6/2/2023 10 p.m. EDT",535317,533418,531069,-144
US48,"6/2/2023 11 p.m. EDT",510091,509222,504469,116
US48,"6/3/2023 12 a.m. EDT",481858,479739,475562,58
US48,"6/3/2023 1 a.m. EDT",440977,438141,435950,-197
US48,"6/3/2023 2 a.m. EDT",414735,409715,409981,796
US48,"6/3/2023 3 a.m. EDT",393120,386256,388277,1360
US48,"6/3/2023 4 a.m. EDT",377514,374589,373003,1064
US48,"6/3/2023 5 a.m. EDT",367264,366358,362621,726
US48,"6/3/2023 6 a.m. EDT",362328,363371,358128,431
US48,"6/3/2023 7 a.m. EDT",361432,364628,357562,126
US48,"6/3/2023 8 a.m. EDT",367851,374106,363636,-688
US48,"6/3/2023 9 a.m. EDT",384463,392429,380177,-1127
US48,"6/3/2023 10 a.m. EDT",407276,416866,402799,-1326
US48,"6/3/2023 11 a.m. EDT",432621,443294,428870,-1667
US48,"6/3/2023 12 p.m. EDT",459253,468127,456434,-1153
US48,"6/3/2023 1 p.m. EDT",481806,489335,478674,-1062
US48,"6/3/2023 2 p.m. EDT",499820,507007,496190,-1488
US48,"6/3/2023 3 p.m. EDT",513741,520308,509768,-1848
US48,"6/3/2023 4 p.m. EDT",524473,531195,520921,-1639
US48,"6/3/2023 5 p.m. EDT",533132,538828,529300,-2092
US48,"6/3/2023 6 p.m. EDT",536341,540558,533879,-2106
US48,"6/3/2023 7 p.m. EDT",532681,536005,530806,-2403
US48,"6/3/2023 8 p.m. EDT",522600,525296,520499,-2565
US48,"6/3/2023 9 p.m. EDT",507182,510002,504876,-2257
US48,"6/3/2023 10 p.m. EDT",491810,492862,490095,-1709
US48,"6/3/2023 11 p.m. EDT",472304,471849,468357,-1517
US48,"6/4/2023 12 a.m. EDT",447445,446416,441996,-1629
US48,"6/4/2023 1 a.m. EDT",421476,420211,415043,-1378
US48,"6/4/2023 2 a.m. EDT",397076,393728,392673,352
US48,"6/4/2023 3 a.m. EDT",379579,372122,373908,262
US48,"6/4/2023 4 a.m. EDT",363361,362052,357692,4895
US48,"6/4/2023 5 a.m. EDT",353332,353487,347949,5077
