Channel              :		CH1
Frequency            :		1.000KHz
Period               :		1.000ms
PK-PK                :		10.13V
Average              :		-352.4mV
Vertical pos         :		0.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		5.000000mV
Time interval        :		0.40000uS

index		CH1_Voltage(mV)
271		-1130.000000
272		-1135.000000
273		-1100.000000
274		-1080.000000
275		-1060.000000
276		-1045.000000
277		-1035.000000
278		-1005.000000
279		-990.000000
280		-980.000000
281		-955.000000
282		-915.000000
283		-910.000000
284		-875.000000
285		-870.000000
286		-855.000000
287		-840.000000
288		-805.000000
289		-790.000000
290		-770.000000
291		-745.000000
292		-715.000000
293		-700.000000
294		-700.000000
295		-675.000000
296		-645.000000
297		-625.000000
298		-620.000000
299		-575.000000
300		-580.000000
301		-540.000000
302		-515.000000
303		-490.000000
304		-480.000000
305		-445.000000
306		-440.000000
307		-415.000000
308		-405.000000
309		-385.000000
310		-375.000000
311		-355.000000
312		-340.000000
313		-305.000000
314		-305.000000
315		-265.000000
316		-275.000000
317		-255.000000
318		-235.000000
319		-220.000000
320		-205.000000
321		-190.000000
322		-195.000000
323		-170.000000
324		-175.000000
325		-155.000000
326		-135.000000
327		-125.000000
328		-120.000000
329		-110.000000
330		-120.000000
331		-100.000000
332		-100.000000
333		-95.000000
334		-70.000000
335		-80.000000
336		-75.000000
337		-75.000000
338		-80.000000
339		-70.000000
340		-65.000000
341		-70.000000
342		-65.000000
343		-60.000000
344		-55.000000
345		-55.000000
346		-65.000000
347		-60.000000
348		-80.000000
349		-65.000000
350		-60.000000
351		-80.000000
352		-75.000000
353		-105.000000
354		-95.000000
355		-115.000000
356		-115.000000
357		-130.000000
358		-120.000000
359		-140.000000
360		-145.000000
361		-150.000000
362		-150.000000
363		-190.000000
364		-190.000000
365		-195.000000
366		-200.000000
367		-225.000000
368		-235.000000
369		-265.000000
370		-245.000000
371		-270.000000
372		-285.000000
373		-290.000000
374		-315.000000
375		-325.000000
376		-350.000000
377		-350.000000
378		-375.000000
379		-365.000000
380		-410.000000
381		-430.000000
382		-440.000000
383		-455.000000
384		-475.000000
385		-490.000000
386		-500.000000
387		-535.000000
388		-535.000000
389		-565.000000
390		-570.000000
391		-590.000000
392		-600.000000
393		-625.000000
394		-635.000000
395		-655.000000
396		-670.000000
397		-675.000000
398		-705.000000
399		-730.000000
400		-750.000000
401		-775.000000
402		-770.000000
403		-800.000000
404		-805.000000
405		-820.000000
406		-845.000000
407		-830.000000
408		-865.000000
409		-890.000000
410		-905.000000
