-3.000000000000000e-01	-1.139494e-15
-2.700000000000000e-01	-3.146174e-08
-2.400000000000000e-01	-8.924881e-08
-2.100000000000000e-01	-9.703781e-08
-1.800000000000000e-01	-5.482682e-08
-1.500000000000000e-01	-2.362186e-12
-1.200000000000000e-01	-3.736050e-09
-9.000000000000002e-02	-7.518111e-08
-6.000000000000003e-02	-9.999967e-08
-3.000000000000003e-02	-7.481822e-08
-2.775557561562891e-17	-3.379732e-09
2.999999999999997e-02	-2.829924e-12
5.999999999999997e-02	-5.531330e-08
8.999999999999997e-02	-9.716141e-08
1.200000000000000e-01	-8.900953e-08
1.500000000000000e-01	-3.085995e-08
1.800000000000000e-01	-1.080802e-15
2.100000000000000e-01	-2.964873e-08
2.400000000000000e-01	-8.852304e-08
2.700000000000000e-01	-9.740070e-08
3.000000000000000e-01	-5.627837e-08
