Channel              :,CH1
Frequency            :,  ?
Period               :,  ?
PK-PK                :,2.692V
Average              :,19.02mV
Vertical pos         :,0.000000mV
Probe attenuation    :,1X
Voltage per ADC value:,1.250000mV
Time interval        :,100.00000uS

index,CH1_Voltage(mV)
622,100.000000
623,96.250000
624,95.000000
625,101.250000
626,92.500000
627,93.750000
628,90.000000
629,87.500000
630,78.750000
631,80.000000
632,76.250000
633,66.250000
634,73.750000
635,65.000000
636,62.500000
637,67.500000
638,62.500000
639,65.000000
640,61.250000
641,57.500000
642,56.250000
643,58.750000
644,55.000000
645,43.750000
646,45.000000
647,41.250000
648,36.250000
649,35.000000
650,38.750000
651,30.000000
652,25.000000
653,27.500000
654,26.250000
655,28.750000
656,23.750000
657,15.000000
658,18.750000
659,21.250000
660,15.000000
661,8.750000
662,8.750000
663,3.750000
664,1.250000
665,0.000000
666,3.750000
667,2.500000
668,1.250000
669,-8.750000
670,-11.250000
671,-12.500000
672,-12.500000
673,-20.000000
674,-31.250000
675,-28.750000
676,-31.250000
677,-38.750000
678,-33.750000
679,-42.500000
680,-46.250000
681,-53.750000
682,-52.500000
683,-57.500000
684,-62.500000
685,-63.750000
686,-63.750000
687,-61.250000
688,-68.750000
689,-72.500000
690,-76.250000
691,-78.750000
692,-78.750000
693,-81.250000
694,-75.000000
695,-68.750000
696,-68.750000
697,-61.250000
698,-61.250000
699,-61.250000
700,-61.250000
701,-60.000000
702,-61.250000
703,-57.500000
704,-52.500000
705,-58.750000
706,-51.250000
707,-53.750000
708,-40.000000
709,-47.500000
710,-37.500000
711,-43.750000
712,-45.000000
713,-33.750000
714,-37.500000
715,-33.750000
716,-31.250000
717,-32.500000
718,-32.500000
719,-30.000000
720,-23.750000
721,-21.250000
722,-21.250000
723,-15.000000
724,-17.500000
725,-10.000000
726,-11.250000
727,-1.250000
728,3.750000
729,10.000000
730,8.750000
731,11.250000
732,11.250000
733,21.250000
734,12.500000
735,17.500000
736,27.500000
737,17.500000
738,21.250000
739,26.250000
740,30.000000
741,36.250000
742,30.000000
743,32.500000
744,37.500000
745,43.750000
746,50.000000
747,53.750000
748,47.500000
749,52.500000
750,46.250000
751,47.500000
752,60.000000
753,51.250000
754,58.750000
755,61.250000
756,58.750000
757,62.500000
758,66.250000
759,71.250000
760,71.250000
761,72.500000
762,72.500000
763,73.750000
764,78.750000
765,77.500000
766,81.250000
767,80.000000
768,83.750000
769,87.500000
770,93.750000
771,91.250000
772,97.500000
773,101.250000
774,108.750000
775,110.000000
776,116.250000
777,118.750000
778,121.250000
779,125.000000
780,120.000000
781,131.250000
782,127.500000
783,133.750000
784,136.250000
785,141.250000
786,142.500000
787,138.750000
788,137.500000
789,133.750000
790,138.750000
791,140.000000
792,148.750000
793,138.750000
794,146.250000
795,141.250000
796,137.500000
797,143.750000
798,140.000000
799,137.500000
800,133.750000
801,135.000000
802,133.750000
803,135.000000
804,137.500000
805,132.500000
806,126.250000
807,130.000000
808,122.500000
809,112.500000
810,122.500000
811,111.250000
812,113.750000
813,112.500000
814,108.750000
815,108.750000
816,103.750000
817,110.000000
818,108.750000
819,103.750000
820,93.750000
821,100.000000
822,98.750000
823,87.500000
824,91.250000
825,96.250000
826,88.750000
827,85.000000
828,81.250000
829,68.750000
830,76.250000
831,78.750000
832,77.500000
833,70.000000
834,75.000000
835,70.000000
