vg3	I(Vb1)
Step Information: Vbias=5m  (Step: 1/30)
Step Information: Vbias=40m  (Step: 8/30)
-3.000000000000000e-01	-1.139494e-15
-2.700000000000000e-01	-3.146174e-08
-2.400000000000000e-01	-8.924881e-08
-2.100000000000000e-01	-9.703781e-08
-1.800000000000000e-01	-5.482682e-08
-1.500000000000000e-01	-2.362186e-12
-1.200000000000000e-01	-3.736050e-09
-9.000000000000002e-02	-7.518111e-08
-6.000000000000003e-02	-9.999967e-08
-3.000000000000003e-02	-7.481822e-08
-2.775557561562891e-17	-3.379732e-09
2.999999999999997e-02	-2.829924e-12
5.999999999999997e-02	-5.531330e-08
8.999999999999997e-02	-9.716141e-08
1.200000000000000e-01	-8.900953e-08
1.500000000000000e-01	-3.085995e-08
1.800000000000000e-01	-1.080802e-15
2.100000000000000e-01	-2.964873e-08
2.400000000000000e-01	-8.852304e-08
2.700000000000000e-01	-9.740070e-08
3.000000000000000e-01	-5.627837e-08
Step Information: Vbias=45m  (Step: 9/30)
-3.000000000000000e-01	-2.046417e-12
-2.700000000000000e-01	-4.528858e-08
-2.400000000000000e-01	-1.003603e-07
-2.100000000000000e-01	-1.109875e-07
-1.800000000000000e-01	-7.717033e-08
-1.500000000000000e-01	-3.052859e-09
-1.200000000000000e-01	-1.652329e-08
-9.000000000000002e-02	-8.659418e-08
-6.000000000000003e-02	-1.123588e-07
-3.000000000000003e-02	-9.367903e-08
-2.775557561562891e-17	-3.055766e-08
2.999999999999997e-02	-1.499253e-10
5.999999999999997e-02	-6.767246e-08
8.999999999999997e-02	-1.085745e-07
1.200000000000000e-01	-1.050321e-07
1.500000000000000e-01	-5.704520e-08
1.800000000000000e-01	-3.448094e-12
2.100000000000000e-01	-4.359512e-08
2.400000000000000e-01	-9.963448e-08
2.700000000000000e-01	-1.112294e-07
3.000000000000000e-01	-7.837995e-08
Step Information: Vbias=50m  (Step: 10/30)
-3.000000000000000e-01	-2.751180e-09
-2.700000000000000e-01	-5.857376e-08
-2.400000000000000e-01	-1.114716e-07
-2.100000000000000e-01	-1.243695e-07
-1.800000000000000e-01	-9.726736e-08
-1.500000000000000e-01	-3.016878e-08
-1.200000000000000e-01	-3.142781e-08
-9.000000000000002e-02	-9.794686e-08
-6.000000000000003e-02	-1.244684e-07
-3.000000000000003e-02	-1.109899e-07
-2.775557561562891e-17	-5.751140e-08
2.999999999999997e-02	-3.394611e-09
5.999999999999997e-02	-7.978201e-08
8.999999999999997e-02	-1.199272e-07
1.200000000000000e-01	-1.200723e-07
1.500000000000000e-01	-8.021747e-08
1.800000000000000e-01	-3.751772e-09
2.100000000000000e-01	-5.697705e-08
2.400000000000000e-01	-1.107459e-07
2.700000000000000e-01	-1.245147e-07
3.000000000000000e-01	-9.828345e-08
Step Information: Vbias=55m  (Step: 11/30)
-3.000000000000000e-01	-2.990232e-08
-2.700000000000000e-01	-7.146368e-08
-2.400000000000000e-01	-1.225830e-07
-2.100000000000000e-01	-1.373386e-07
-1.800000000000000e-01	-1.157306e-07
-1.500000000000000e-01	-5.775900e-08
-1.200000000000000e-01	-4.575326e-08
-9.000000000000002e-02	-1.092556e-07
-6.000000000000003e-02	-1.363964e-07
-3.000000000000003e-02	-1.271735e-07
-2.775557561562891e-17	-8.158701e-08
2.999999999999997e-02	-1.918612e-08
5.999999999999997e-02	-9.171001e-08
8.999999999999997e-02	-1.312359e-07
1.200000000000000e-01	-1.343982e-07
1.500000000000000e-01	-1.011968e-07
1.800000000000000e-01	-3.174809e-08
2.100000000000000e-01	-6.994615e-08
2.400000000000000e-01	-1.218572e-07
2.700000000000000e-01	-1.374046e-07
3.000000000000000e-01	-1.165883e-07
Step Information: Vbias=60m  (Step: 12/30)
-3.000000000000000e-01	-6.118130e-08
-2.700000000000000e-01	-8.405859e-08
-2.400000000000000e-01	-1.336942e-07
-2.100000000000000e-01	-1.499980e-07
-1.800000000000000e-01	-1.329685e-07
-1.500000000000000e-01	-8.260810e-08
-1.200000000000000e-01	-6.199561e-08
-9.000000000000002e-02	-1.205314e-07
-6.000000000000003e-02	-1.481882e-07
-3.000000000000003e-02	-1.425117e-07
-2.775557561562891e-17	-1.035019e-07
2.999999999999997e-02	-5.907689e-08
5.999999999999997e-02	-1.035019e-07
8.999999999999997e-02	-1.425117e-07
1.200000000000000e-01	-1.481882e-07
1.500000000000000e-01	-1.205314e-07
1.800000000000000e-01	-6.199561e-08
2.100000000000000e-01	-8.260810e-08
2.400000000000000e-01	-1.329685e-07
2.700000000000000e-01	-1.499980e-07
3.000000000000000e-01	-1.336942e-07
Step Information: Vbias=65m  (Step: 13/30)
-3.000000000000000e-01	-9.622598e-08
-2.700000000000000e-01	-9.834712e-08
-2.400000000000000e-01	-1.448055e-07
-2.100000000000000e-01	-1.624193e-07
-1.800000000000000e-01	-1.492638e-07
-1.500000000000000e-01	-1.054583e-07
-1.200000000000000e-01	-9.662109e-08
-9.000000000000002e-02	-1.317819e-07
-6.000000000000003e-02	-1.598754e-07
-3.000000000000003e-02	-1.571996e-07
-2.775557561562891e-17	-1.237547e-07
2.999999999999997e-02	-9.691858e-08
5.999999999999997e-02	-1.151909e-07
8.999999999999997e-02	-1.537622e-07
1.200000000000000e-01	-1.615662e-07
1.500000000000000e-01	-1.386009e-07
1.800000000000000e-01	-9.619112e-08
2.100000000000000e-01	-9.767004e-08
2.400000000000000e-01	-1.440797e-07
2.700000000000000e-01	-1.623634e-07
3.000000000000000e-01	-1.498779e-07
Step Information: Vbias=70m  (Step: 14/30)
-3.000000000000000e-01	-1.293328e-07
-2.700000000000000e-01	-1.291579e-07
-2.400000000000000e-01	-1.559168e-07
-2.100000000000000e-01	-1.746533e-07
-1.800000000000000e-01	-1.648185e-07
-1.500000000000000e-01	-1.287701e-07
-1.200000000000000e-01	-1.305861e-07
-9.000000000000002e-02	-1.430139e-07
-6.000000000000003e-02	-1.714802e-07
-3.000000000000003e-02	-1.713765e-07
-2.775557561562891e-17	-1.427031e-07
2.999999999999997e-02	-1.306013e-07
5.999999999999997e-02	-1.289228e-07
8.999999999999997e-02	-1.649928e-07
1.200000000000000e-01	-1.746203e-07
1.500000000000000e-01	-1.556763e-07
1.800000000000000e-01	-1.292024e-07
2.100000000000000e-01	-1.292899e-07
2.400000000000000e-01	-1.551910e-07
2.700000000000000e-01	-1.745496e-07
3.000000000000000e-01	-1.653369e-07
Step Information: Vbias=75m  (Step: 15/30)
-3.000000000000000e-01	-1.593866e-07
-2.700000000000000e-01	-1.603212e-07
